종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
006800,미래에셋증권,유가,13798,6331
047040,대우건설,유가,3652,3652
489790,한화비전,유가,5327,2580
277810,레인보우로보틱스,코스닥,12162,2572
032820,우리기술,코스닥,14734,2332
024060,흥구석유,코스닥,9287,2285
042700,한미반도체,유가,14571,2284
006340,대원전선,유가,8357,2088
103590,일진전기,유가,2075,2075
330350,위더스제약,코스닥,1749,1749
039860,나노엔텍,코스닥,1701,1701
066570,LG전자,유가,16832,1687
417200,LS머트리얼즈,코스닥,1412,1412
242040,나무기술,코스닥,1199,1199
000400,롯데손해보험,유가,1216,1134
048410,현대바이오,코스닥,4581,1125
052690,한전기술,유가,3284,876
038500,삼표시멘트,코스닥,11788,803
017670,SK텔레콤,유가,4121,791
222080,씨아이에스,코스닥,4501,789
005440,현대지에프홀딩스,유가,1748,784
130660,한전산업,유가,4175,727
253590,네오셈,코스닥,2160,697
047050,포스코인터내셔널,유가,1817,624
000540,흥국화재,유가,1247,567
004020,현대제철,유가,1422,531
028050,삼성E&A,유가,1109,485
033100,제룡전기,코스닥,2252,470
043260,성호전자,코스닥,1123,447
001510,SK증권,유가,5973,430
012510,더존비즈온,유가,3120,397
440110,파두,코스닥,7176,338
241520,DSC인베스트먼트,코스닥,2832,327
001820,삼화콘덴서공업,유가,1398,321
047770,코데즈컴바인,코스닥,1267,294
475150,SK이터닉스,유가,4321,293
010820,퍼스텍,유가,1651,284
388050,지투파워,코스닥,1072,255
012210,삼미금속,코스닥,2989,216
035810,이지홀딩스,코스닥,1256,199
020150,롯데에너지머티리얼즈,유가,1043,194
457550,우진엔텍,코스닥,1020,165
004560,현대비앤지스틸,유가,1374,135
009070,케이씨티시,유가,1423,81
