종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
080220,제주반도체,코스닥,7382,7382
006400,삼성SDI,유가,22402,6750
006800,미래에셋증권,유가,8339,5514
038500,삼표시멘트,코스닥,5429,5429
353200,대덕전자,유가,3617,3617
272210,한화시스템,유가,16563,3585
277810,레인보우로보틱스,코스닥,12162,3091
001440,대한전선,유가,3930,2828
001510,SK증권,유가,2699,2699
027360,아주IB투자,코스닥,2632,2632
098460,고영,코스닥,6548,2230
036540,SFA반도체,코스닥,2127,2127
403870,HPSP,코스닥,5043,2038
024060,흥구석유,코스닥,1753,1753
017670,SK텔레콤,유가,4121,1748
000250,삼천당제약,코스닥,5888,1708
010130,고려아연,유가,4849,1573
032820,우리기술,코스닥,6850,1351
067310,하나마이크론,코스닥,4428,1251
466100,클로봇,코스닥,4697,1205
457190,이수스페셜티케미컬,유가,4999,1094
060720,KH바텍,코스닥,1542,1078
347700,스피어,코스닥,1711,992
036930,주성엔지니어링,코스닥,1671,950
010170,대한광통신,코스닥,2687,753
281740,레이크머티리얼즈,코스닥,2409,663
237690,에스티팜,코스닥,1882,661
101490,에스앤에스텍,코스닥,1302,646
257720,실리콘투,코스닥,1503,635
417200,LS머트리얼즈,코스닥,1165,612
060280,큐렉소,코스닥,1927,608
474170,루미르,코스닥,2167,578
274090,켄코아에어로스페이스,코스닥,2414,576
232680,라온로보틱스,코스닥,1797,574
003530,한화투자증권,유가,1355,546
383310,에코프로에이치엔,코스닥,1259,532
048410,현대바이오,코스닥,1247,527
011500,한농화성,유가,1173,466
056080,유진로봇,코스닥,4459,419
253590,네오셈,코스닥,1936,374
036810,에프에스티,코스닥,1430,337
079370,제우스,코스닥,1963,324
399720,가온칩스,코스닥,1197,316
028050,삼성E&A,유가,1109,310
211270,AP위성,코스닥,1425,284
222080,씨아이에스,코스닥,1408,271
264850,이랜시스,코스닥,1037,253
009520,포스코엠텍,코스닥,2137,177
451760,컨텍,코스닥,1396,172
105840,우진,유가,1508,157
054920,한컴위드,코스닥,1386,149
417010,나노팀,코스닥,1167,147
006220,제주은행,유가,1523,89
