종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
024060,흥구석유,코스닥,17011,17011
079550,LIG넥스원,유가,15391,15391
272210,한화시스템,유가,16939,12333
042700,한미반도체,유가,21680,9733
003280,흥아해운,유가,6583,6105
004090,한국석유공업,유가,4846,4846
032820,우리기술,코스닥,14734,3799
117580,대성에너지,유가,2377,2377
440110,파두,코스닥,7176,1740
178320,서진시스템,코스닥,4189,1559
053050,지에스이,코스닥,1293,1214
065450,빅텍,코스닥,2094,1203
000440,중앙에너비스,코스닥,1172,1172
347700,스피어,코스닥,2789,1136
010170,대한광통신,코스닥,2688,1066
234340,헥토파이낸셜,코스닥,2389,947
010820,퍼스텍,유가,1651,588
027360,아주IB투자,코스닥,2290,577
012510,더존비즈온,유가,3120,293
048530,인트론바이오,코스닥,1155,185
