종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,18393,18393
001510,SK증권,유가,11982,11982
475150,SK이터닉스,유가,7856,6274
036930,주성엔지니어링,코스닥,4481,4481
322000,HD현대에너지솔루션,유가,10563,3151
417200,LS머트리얼즈,코스닥,8777,3140
050890,쏠리드,코스닥,4878,2988
006910,보성파워텍,코스닥,5005,2784
046120,오르비텍,코스닥,2451,2451
178320,서진시스템,코스닥,4189,2389
105840,우진,유가,2297,2297
044490,태웅,코스닥,2202,2202
375500,DL이앤씨,유가,2170,2170
403870,HPSP,코스닥,6086,2008
388050,지투파워,코스닥,1201,1201
010170,대한광통신,코스닥,7764,1167
069540,빛과전자,코스닥,1090,1090
002780,진흥기업,유가,1080,1080
011930,신성이엔지,유가,5093,1032
010060,OCI홀딩스,유가,1054,824
489790,한화비전,유가,6021,714
006340,대원전선,유가,8357,541
033160,엠케이전자,코스닥,1300,465
356860,티엘비,코스닥,1122,398
082920,비츠로셀,코스닥,1461,389
234340,헥토파이낸셜,코스닥,1696,314
138080,오이솔루션,코스닥,1554,310
027360,아주IB투자,코스닥,3469,297
412350,레이저쎌,코스닥,1426,253
242040,나무기술,코스닥,1696,193
402490,그린리소스,코스닥,1318,186
001820,삼화콘덴서공업,유가,1398,182
005440,현대지에프홀딩스,유가,1748,89
082640,동양생명,유가,1127,53
