종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,18477,9302
100790,미래에셋벤처투자,코스닥,7450,7450
115440,우리넷,코스닥,2205,2205
010170,대한광통신,코스닥,7764,2100
027360,아주IB투자,코스닥,6158,2095
950160,코오롱티슈진,코스닥,3285,1536
069540,빛과전자,코스닥,2650,1229
003000,부광약품,유가,1786,978
375500,DL이앤씨,유가,3112,964
017900,광전자,유가,1076,924
402490,그린리소스,코스닥,1318,706
475580,에이럭스,코스닥,1185,581
007810,코리아써키트,유가,1197,534
100090,SK오션플랜트,유가,4228,517
368770,파이버프로,코스닥,2587,409
138080,오이솔루션,코스닥,1554,387
218410,RFHIC,코스닥,2564,386
474610,RF시스템즈,코스닥,1510,304
082920,비츠로셀,코스닥,1461,267
092220,KEC,유가,1182,237
412350,레이저쎌,코스닥,1426,57
