종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
272210,한화시스템,유가,16939,14938
064350,현대로템,유가,9554,9554
079550,LIG넥스원,유가,7689,7689
042700,한미반도체,유가,21680,6485
010950,S-Oil,유가,6022,6022
028670,팬오션,유가,4355,4355
011200,HMM,유가,3804,3804
032820,우리기술,코스닥,14734,3227
005880,대한해운,유가,2687,2687
038500,삼표시멘트,코스닥,11788,2528
010170,대한광통신,코스닥,2688,2232
229000,젠큐릭스,코스닥,1558,1558
044450,KSS해운,유가,1547,1547
178320,서진시스템,코스닥,4189,1491
043260,성호전자,코스닥,1255,1255
065450,빅텍,코스닥,1178,1178
010820,퍼스텍,유가,1651,1131
440110,파두,코스닥,7176,896
234340,헥토파이낸셜,코스닥,2389,516
003280,흥아해운,유가,1062,495
024060,흥구석유,코스닥,9287,444
004090,한국석유공업,유가,2022,216
