종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
032820,우리기술,코스닥,16545,8991
003280,흥아해운,유가,6750,6750
006910,보성파워텍,코스닥,5239,4986
006800,미래에셋증권,유가,13798,2954
012450,한화에어로스페이스,유가,18550,2671
008350,남선알미늄,유가,2413,2413
357880,SKAI,코스닥,1794,1794
046120,오르비텍,코스닥,1861,1731
000720,현대건설,유가,15908,1676
010170,대한광통신,코스닥,7764,1265
475150,SK이터닉스,유가,4543,1073
005860,한일사료,코스닥,2327,1054
322000,HD현대에너지솔루션,유가,10563,869
263750,펄어비스,코스닥,1335,849
178320,서진시스템,코스닥,4189,752
489790,한화비전,유가,6021,479
347700,스피어,코스닥,2789,431
138080,오이솔루션,코스닥,1554,391
234340,헥토파이낸셜,코스닥,1696,382
380540,옵티코어,코스닥,1735,375
006340,대원전선,유가,8357,366
010060,OCI홀딩스,유가,1054,315
402490,그린리소스,코스닥,1318,261
012510,더존비즈온,유가,3120,110
