종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
272210,한화시스템,유가,16939,5209
006400,삼성SDI,유가,22402,4793
001440,대한전선,유가,4807,4436
015760,한국전력공사,유가,12349,3912
006800,미래에셋증권,유가,9515,3881
080220,제주반도체,코스닥,7382,3695
052690,한전기술,유가,3397,3284
032820,우리기술,코스닥,6850,2626
457190,이수스페셜티케미컬,유가,4999,2429
000720,현대건설,유가,9206,2330
000250,삼천당제약,코스닥,5888,2250
100790,미래에셋벤처투자,코스닥,3449,2048
010060,OCI홀딩스,유가,1959,1959
079900,전진건설로봇,유가,1695,1695
130660,한전산업,유가,1869,1688
077360,덕산하이메탈,코스닥,1678,1678
017670,SK텔레콤,유가,4121,1577
267270,HD건설기계,유가,3318,1519
033100,제룡전기,코스닥,1517,1517
452260,한화갤러리아,유가,3640,1516
009070,케이씨티시,유가,1412,1412
277810,레인보우로보틱스,코스닥,12162,1232
098460,고영,코스닥,6548,1161
377300,카카오페이,유가,8493,1086
020150,롯데에너지머티리얼즈,유가,1124,1043
010130,고려아연,유가,4849,1030
234340,헥토파이낸셜,코스닥,2507,878
047040,대우건설,유가,1582,855
222080,씨아이에스,코스닥,1408,768
000880,한화,유가,7882,765
036930,주성엔지니어링,코스닥,1671,727
353200,대덕전자,유가,3617,646
281740,레이크머티리얼즈,코스닥,2409,625
474170,루미르,코스닥,2139,583
253590,네오셈,코스닥,2160,543
038460,바이오스마트,코스닥,1874,516
027360,아주IB투자,코스닥,2653,474
347700,스피어,코스닥,1702,466
006220,제주은행,유가,2831,438
003530,한화투자증권,유가,1355,390
022100,포스코DX,유가,6675,355
060250,NHN KCP,코스닥,3447,317
028050,삼성E&A,유가,1109,288
011500,한농화성,유가,1173,284
003310,대주산업,코스닥,1414,277
101490,에스앤에스텍,코스닥,1302,243
060280,큐렉소,코스닥,1927,233
038500,삼표시멘트,코스닥,5486,170
211270,AP위성,코스닥,1425,164
004560,현대비앤지스틸,유가,1374,158
417010,나노팀,코스닥,1167,150
079370,제우스,코스닥,1963,132
117730,티로보틱스,코스닥,1059,122
001510,SK증권,유가,2707,109
009520,포스코엠텍,코스닥,2137,94
