종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
272210,한화시스템,유가,16935,16935
006800,미래에셋증권,유가,9515,9515
001440,대한전선,유가,4807,4807
277810,레인보우로보틱스,코스닥,12162,3057
027360,아주IB투자,코스닥,2653,2274
253590,네오셈,코스닥,2160,2160
000250,삼천당제약,코스닥,5888,2074
038460,바이오스마트,코스닥,1865,1865
038500,삼표시멘트,코스닥,5486,1778
474170,루미르,코스닥,2139,1687
004560,현대비앤지스틸,유가,1370,1370
234340,헥토파이낸셜,코스닥,2507,1312
080220,제주반도체,코스닥,7382,1311
003530,한화투자증권,유가,1355,1248
001510,SK증권,유가,2707,1201
377300,카카오페이,유가,8493,1169
017670,SK텔레콤,유가,4121,1157
032820,우리기술,코스닥,6850,1132
000880,한화,유가,7882,1047
403870,HPSP,코스닥,5043,1033
457190,이수스페셜티케미컬,유가,4999,941
417010,나노팀,코스닥,1167,820
003310,대주산업,코스닥,1414,812
067310,하나마이크론,코스닥,4428,809
353200,대덕전자,유가,3617,788
347700,스피어,코스닥,1702,650
036930,주성엔지니어링,코스닥,1671,644
077360,덕산하이메탈,코스닥,1190,433
211270,AP위성,코스닥,1425,428
451760,컨텍,코스닥,1396,398
028050,삼성E&A,유가,1109,395
101490,에스앤에스텍,코스닥,1302,378
237690,에스티팜,코스닥,1882,377
232680,라온로보틱스,코스닥,1797,372
274090,켄코아에어로스페이스,코스닥,2414,365
006220,제주은행,유가,2831,352
452260,한화갤러리아,유가,3640,272
059120,아진엑스텍,코스닥,1606,243
060720,KH바텍,코스닥,1542,211
048410,현대바이오,코스닥,1247,199
417200,LS머트리얼즈,코스닥,1165,181
079370,제우스,코스닥,1963,160
053700,삼보모터스,코스닥,1568,120
009520,포스코엠텍,코스닥,2137,103
