종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
005380,현대자동차,유가,27213,10695
090710,휴림로봇,코스닥,7829,6870
022100,포스코DX,유가,6675,5004
452260,한화갤러리아,유가,3612,3612
004310,현대약품,유가,3493,3493
052690,한전기술,유가,3397,3397
272210,한화시스템,유가,16563,3358
348340,뉴로메카,코스닥,3284,3284
000720,현대건설,유가,9206,3254
042660,한화오션,유가,13317,3198
056080,유진로봇,코스닥,2822,2822
000880,한화,유가,7882,2272
277810,레인보우로보틱스,코스닥,5786,2081
101330,모베이스,코스닥,2010,2010
015760,한국전력공사,유가,3951,1857
437730,삼현,코스닥,2553,1622
098460,고영,코스닥,6548,1140
049630,재영솔루텍,코스닥,2363,954
003310,대주산업,코스닥,1876,679
464080,에스오에스랩,코스닥,1884,421
053700,삼보모터스,코스닥,1568,404
009520,포스코엠텍,코스닥,2137,391
003160,디아이,유가,1186,302
264850,이랜시스,코스닥,1634,283
059120,아진엑스텍,코스닥,1606,257
232680,라온테크,코스닥,1291,255
306040,에스제이그룹,코스닥,1187,145
032940,원익,코스닥,2331,79
