종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
003280,흥아해운,유가,13705,13705
010170,대한광통신,코스닥,10714,10714
322000,HD현대에너지솔루션,유가,10563,4013
008350,남선알미늄,유가,3200,3200
050890,쏠리드,코스닥,8252,2642
049080,기가레인,코스닥,1490,1490
047050,포스코인터내셔널,유가,4181,1397
368770,파이버프로,코스닥,2587,1181
100090,SK오션플랜트,유가,4228,1097
138080,오이솔루션,코스닥,1554,1006
010060,OCI홀딩스,유가,1054,883
011930,신성이엔지,유가,5093,807
006110,삼아알미늄,유가,1531,807
069540,빛과전자,코스닥,2650,775
017900,광전자,유가,1076,613
161000,애경케미칼,유가,1847,549
053690,한미글로벌,유가,1197,392
082920,비츠로셀,코스닥,1461,361
033160,엠케이전자,코스닥,1300,172
