종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
009830,한화솔루션,유가,22295,17156
006800,미래에셋증권,유가,9515,6843
090430,아모레퍼시픽,유가,4029,4029
080220,제주반도체,코스닥,7382,2700
234340,헥토파이낸셜,코스닥,2507,2371
056080,유진로봇,코스닥,4459,2028
015760,한국전력공사,유가,12349,1702
005490,POSCO홀딩스,유가,8586,1634
417010,나노팀,코스닥,1449,1449
011930,신성이엔지,유가,1442,1442
225190,LK삼양,코스닥,1911,1423
006910,보성파워텍,코스닥,4420,1383
352820,하이브,유가,4123,1301
000250,삼천당제약,코스닥,5888,1080
032820,우리기술,코스닥,6850,1046
003160,디아이,유가,1014,1014
052690,한전기술,유가,3397,995
474170,루미르,코스닥,1831,994
100790,미래에셋벤처투자,코스닥,3449,977
139480,이마트,유가,1534,820
033100,제룡전기,코스닥,2252,820
348340,뉴로메카,코스닥,7419,759
010060,OCI홀딩스,유가,1959,720
047040,대우건설,유가,1582,551
237690,에스티팜,코스닥,1882,510
028050,삼성E&A,유가,1109,429
027360,아주IB투자,코스닥,2653,401
101490,에스앤에스텍,코스닥,1302,305
383310,에코프로에이치엔,코스닥,1259,302
451760,컨텍,코스닥,1396,293
211270,AP위성,코스닥,1425,273
130660,한전산업,유가,2619,205
094820,일진파워,코스닥,2150,205
222080,씨아이에스,코스닥,1408,170
036810,에프에스티,코스닥,1430,168
009520,포스코엠텍,코스닥,2137,73
