종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,18477,15374
003280,흥아해운,유가,11443,5271
010170,대한광통신,코스닥,7764,3309
050890,쏠리드,코스닥,8252,2891
100090,SK오션플랜트,유가,4228,1966
027360,아주IB투자,코스닥,6158,1546
037030,파워넷,코스닥,2933,1509
375500,DL이앤씨,유가,3112,1482
322000,HD현대에너지솔루션,유가,10563,1410
008350,남선알미늄,유가,2423,1361
138080,오이솔루션,코스닥,1554,1100
069540,빛과전자,코스닥,2650,833
053690,한미글로벌,유가,1197,765
368770,파이버프로,코스닥,2587,616
017900,광전자,유가,1076,545
425040,티이엠씨,코스닥,2535,487
082920,비츠로셀,코스닥,1461,465
161000,애경케미칼,유가,1847,454
006110,삼아알미늄,유가,1531,368
033160,엠케이전자,코스닥,1300,367
356860,티엘비,코스닥,1122,312
282720,금양그린파워,코스닥,1568,239
474610,RF시스템즈,코스닥,1510,227
289080,SV인베스트먼트,코스닥,1445,219
242040,나무기술,코스닥,1696,166
001820,삼화콘덴서공업,유가,1012,133
412350,레이저쎌,코스닥,1426,80
452280,한선엔지니어링,코스닥,1786,58
