종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
272210,한화시스템,유가,16939,13914
079550,LIG넥스원,유가,15391,13008
012450,한화에어로스페이스,유가,18550,11972
089030,테크윙,코스닥,9355,9355
009830,한화솔루션,유가,22295,9314
032820,우리기술,코스닥,14734,8927
042700,한미반도체,유가,21680,7445
322000,HD현대에너지솔루션,유가,5805,5310
024060,흥구석유,코스닥,17130,4797
001510,SK증권,유가,7613,3260
010820,퍼스텍,유가,3186,3186
000720,현대건설,유가,15908,2824
006800,미래에셋증권,유가,13798,2786
489790,한화비전,유가,6021,1862
222080,씨아이에스,코스닥,4501,1823
440110,파두,코스닥,7176,1705
065450,빅텍,코스닥,2094,1695
003280,흥아해운,유가,6583,1439
000440,중앙에너비스,코스닥,1275,1275
178320,서진시스템,코스닥,4189,1240
234340,헥토파이낸셜,코스닥,2389,1118
005860,한일사료,코스닥,2327,1112
347700,스피어,코스닥,2789,866
010170,대한광통신,코스닥,2688,675
027360,아주IB투자,코스닥,2290,601
263750,펄어비스,코스닥,1104,541
241520,DSC인베스트먼트,코스닥,2832,185
