종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
009830,한화솔루션,유가,11984,11984
006400,삼성SDI,유가,22402,4433
005490,POSCO홀딩스,유가,8586,4234
272210,한화시스템,유가,16939,3903
130660,한전산업,유가,2619,2619
000720,현대건설,유가,9206,2500
004310,현대약품,유가,3504,2389
006800,미래에셋증권,유가,9515,2350
033100,제룡전기,코스닥,2252,2252
098460,고영,코스닥,6548,1914
267270,HD건설기계,유가,3318,1652
015760,한국전력공사,유가,12349,1637
001440,대한전선,유가,4807,1596
052690,한전기술,유가,3397,1535
139480,이마트,유가,1483,1483
079900,전진건설로봇,유가,1702,1369
017670,SK텔레콤,유가,4121,1275
032820,우리기술,코스닥,6850,1039
080220,제주반도체,코스닥,7382,1007
077360,덕산하이메탈,코스닥,1691,889
010060,OCI홀딩스,유가,1959,790
452260,한화갤러리아,유가,3640,735
022100,포스코DX,유가,6675,636
234340,헥토파이낸셜,코스닥,2507,630
000880,한화,유가,7882,627
020150,롯데에너지머티리얼즈,유가,1124,627
100790,미래에셋벤처투자,코스닥,3449,521
101330,모베이스,코스닥,2020,477
028050,삼성E&A,유가,1109,296
222080,씨아이에스,코스닥,1408,280
009070,케이씨티시,유가,1423,279
047040,대우건설,유가,1582,275
253590,네오셈,코스닥,2160,255
004560,현대비앤지스틸,유가,1374,180
038460,바이오스마트,코스닥,1874,129
