종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
277810,레인보우로보틱스,코스닥,12155,12155
032820,우리기술,코스닥,6850,4874
454910,두산로보틱스,유가,6104,3829
000250,삼천당제약,코스닥,5888,2874
010130,고려아연,유가,4849,2861
098460,고영,코스닥,6548,2808
005490,POSCO홀딩스,유가,8586,2719
006800,미래에셋증권,유가,8339,2460
281740,레이크머티리얼즈,코스닥,2409,2409
068270,셀트리온,유가,6967,1359
950160,코오롱티슈진,코스닥,1238,1238
237690,에스티팜,코스닥,1882,1209
466100,클로봇,코스닥,4697,1181
011500,한농화성,유가,1173,1173
006910,보성파워텍,코스닥,4420,1152
457190,이수스페셜티케미컬,유가,4999,1058
264850,이랜시스,코스닥,1034,1034
347700,스피어,코스닥,1711,809
215100,로보로보,코스닥,4219,720
101490,에스앤에스텍,코스닥,1302,701
464080,에스오에스랩,코스닥,1900,503
080220,제주반도체,코스닥,5892,475
099320,쎄트렉아이,코스닥,1113,458
060280,큐렉소,코스닥,1927,426
003160,디아이,유가,1186,370
059120,아진엑스텍,코스닥,1606,365
211270,AP위성,코스닥,1425,349
455900,엔젤로보틱스,코스닥,1127,346
274090,켄코아에어로스페이스,코스닥,2277,268
036810,에프에스티,코스닥,1430,235
399720,가온칩스,코스닥,1197,224
451760,컨텍,코스닥,1396,206
009520,포스코엠텍,코스닥,2137,202
474170,루미르,코스닥,2167,180
059270,해성에어로보틱스,코스닥,2060,161
200710,에이디테크놀로지,코스닥,1604,142
