종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
006800,미래에셋증권,유가,13798,13798
003530,한화투자증권,유가,4504,4504
475150,SK이터닉스,유가,4321,4321
032820,우리기술,코스닥,14734,4240
130660,한전산업,유가,4149,4149
001510,SK증권,유가,3629,3629
017670,SK텔레콤,유가,4121,3464
018880,한온시스템,유가,5711,3430
004310,현대약품,유가,2814,2814
347700,스피어,코스닥,2773,2773
066570,LG전자,유가,16832,2651
352820,하이브,유가,4123,2536
042700,한미반도체,유가,14571,2215
187660,현대ADM,코스닥,3137,2072
088350,한화생명,유가,1960,1960
047040,대우건설,유가,3620,1429
221800,유투바이오,코스닥,1389,1389
001440,대한전선,유가,4807,1280
046120,오르비텍,코스닥,1265,1265
241520,DSC인베스트먼트,코스닥,2832,1118
011700,한신기계공업,유가,1723,1096
047770,코데즈컴바인,코스닥,1267,1085
006910,보성파워텍,코스닥,5239,1064
000250,삼천당제약,코스닥,5888,945
452260,한화갤러리아,유가,1524,863
048410,현대바이오,코스닥,1247,799
267270,HD건설기계,유가,3318,709
052690,한전기술,유가,3284,704
440110,파두,코스닥,7176,667
005440,현대지에프홀딩스,유가,1086,650
397030,에이프릴바이오,코스닥,1145,448
094820,일진파워,코스닥,2150,402
255220,SG,코스닥,1689,233
008830,대동기어,코스닥,4105,227
457550,우진엔텍,코스닥,1584,220
028050,삼성E&A,유가,1109,213
274090,켄코아에어로스페이스,코스닥,2414,173
004560,현대비앤지스틸,유가,1374,63
