종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
032820,우리기술,코스닥,16545,14705
047040,대우건설,유가,10535,10535
012450,한화에어로스페이스,유가,18550,4793
475150,SK이터닉스,유가,4543,4543
000720,현대건설,유가,15908,4456
010170,대한광통신,코스닥,7764,3144
006800,미래에셋증권,유가,13798,2472
322000,HD현대에너지솔루션,유가,10563,2318
046120,오르비텍,코스닥,1861,1636
038500,삼표시멘트,코스닥,11437,1632
025860,남해화학,유가,1403,1403
005860,한일사료,코스닥,2327,1268
263750,펄어비스,코스닥,1335,1128
138080,오이솔루션,코스닥,1554,1054
357880,SKAI,코스닥,1018,1018
347700,스피어,코스닥,2789,796
178320,서진시스템,코스닥,4189,792
218410,RFHIC,코스닥,2564,742
006340,대원전선,유가,8357,629
234340,헥토파이낸셜,코스닥,1696,532
010060,OCI홀딩스,유가,1054,491
380540,옵티코어,코스닥,1735,353
402490,그린리소스,코스닥,1318,313
011930,신성이엔지,유가,2065,257
047770,코데즈컴바인,코스닥,1267,122
