종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
005380,현대자동차,유가,42988,28625
006800,미래에셋증권,유가,8339,8062
277810,레인보우로보틱스,코스닥,12162,6029
006400,삼성SDI,유가,22402,5109
307950,현대오토에버,유가,10325,3815
272210,한화시스템,유가,16563,2840
000250,삼천당제약,코스닥,5888,2798
038500,삼표시멘트,코스닥,2552,2552
274090,켄코아에어로스페이스,코스닥,2390,2390
080220,제주반도체,코스닥,5416,2320
010130,고려아연,유가,4849,2221
010170,대한광통신,코스닥,2687,2195
403870,HPSP,코스닥,5043,2005
001440,대한전선,유가,3930,1904
232680,라온로보틱스,코스닥,1787,1787
067310,하나마이크론,코스닥,4428,1730
068270,셀트리온,유가,6967,1714
098460,고영,코스닥,6548,1630
032820,우리기술,코스닥,6850,1593
060720,KH바텍,코스닥,1542,1542
347700,스피어,코스닥,1711,1388
054920,한컴위드,코스닥,1382,1382
027360,아주IB투자,코스닥,1375,1375
950160,코오롱티슈진,코스닥,1364,1364
003530,한화투자증권,유가,1355,1215
017670,SK텔레콤,유가,4121,1213
099320,쎄트렉아이,코스닥,1191,1191
417200,LS머트리얼즈,코스닥,1165,1165
101490,에스앤에스텍,코스닥,1302,1102
353200,대덕전자,유가,1515,991
264850,이랜시스,코스닥,1037,987
457190,이수스페셜티케미컬,유가,4999,968
048410,현대바이오,코스닥,1247,903
257720,실리콘투,코스닥,1503,886
454910,두산로보틱스,유가,6104,881
417010,나노팀,코스닥,1167,879
211270,AP위성,코스닥,1425,847
036540,SFA반도체,코스닥,1130,788
253590,네오셈,코스닥,1936,786
036930,주성엔지니어링,코스닥,1671,714
474170,루미르,코스닥,2167,710
069540,빛과전자,코스닥,1374,640
028050,삼성E&A,유가,1109,605
237690,에스티팜,코스닥,1882,597
036810,에프에스티,코스닥,1430,587
056080,유진로봇,코스닥,4459,558
281740,레이크머티리얼즈,코스닥,2409,553
451760,컨텍,코스닥,1396,549
006910,보성파워텍,코스닥,4420,548
298830,슈어소프트테크,코스닥,5135,512
060280,큐렉소,코스닥,1927,445
105840,우진,유가,1508,414
399720,가온칩스,코스닥,1197,401
003160,디아이,유가,1186,373
079370,제우스,코스닥,1963,338
009520,포스코엠텍,코스닥,2137,258
047040,대우건설,유가,1582,217
130660,한전산업,유가,1869,190
011500,한농화성,유가,1173,166
032940,원익,코스닥,2331,154
059120,아진엑스텍,코스닥,1606,134
457550,우진엔텍,코스닥,1584,127
101170,우림피티에스,코스닥,2334,117
