종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
032820,우리기술,코스닥,14734,9257
088350,한화생명,유가,6072,6072
001510,SK증권,유가,5940,5940
006800,미래에셋증권,유가,13798,5012
006910,보성파워텍,코스닥,5239,4975
024060,흥구석유,코스닥,4593,4593
130660,한전산업,유가,4175,4069
009830,한화솔루션,유가,22295,4059
003530,한화투자증권,유가,5493,3971
006400,삼성SDI,유가,22402,3730
187660,현대ADM,코스닥,3137,3101
052690,한전기술,유가,3284,2414
066570,LG전자,유가,16832,2357
010170,대한광통신,코스닥,2687,2345
018880,한온시스템,유가,8615,2211
009290,광동제약,유가,2116,2116
347700,스피어,코스닥,2789,2054
000370,한화손해보험,유가,2026,2026
004090,한국석유공업,유가,1998,1998
006220,제주은행,유가,2831,1936
475150,SK이터닉스,유가,4321,1811
452260,한화갤러리아,유가,1681,1681
105840,우진,유가,1603,1603
047040,대우건설,유가,3620,1549
047050,포스코인터내셔널,유가,1817,1543
004020,현대제철,유가,1422,1422
080220,제주반도체,코스닥,7382,1390
010820,퍼스텍,유가,1291,1291
017670,SK텔레콤,유가,4121,1048
046120,오르비텍,코스닥,1271,1043
000250,삼천당제약,코스닥,5888,930
060250,NHN KCP,코스닥,3447,901
352820,하이브,유가,4123,899
277810,레인보우로보틱스,코스닥,12162,898
241520,DSC인베스트먼트,코스닥,2832,871
011700,한신기계공업,유가,1723,843
001200,유진증권,유가,1457,804
077360,덕산하이메탈,코스닥,1691,757
036930,주성엔지니어링,코스닥,1557,736
004560,현대비앤지스틸,유가,1374,682
094820,일진파워,코스닥,1381,645
222080,씨아이에스,코스닥,1408,612
323410,카카오뱅크,유가,5538,605
003720,삼영,유가,2760,604
001500,현대차증권,유가,1641,571
267270,HD건설기계,유가,3318,562
322000,HD현대에너지솔루션,유가,4494,503
067310,하나마이크론,코스닥,4428,487
048410,현대바이오,코스닥,1260,466
028050,삼성E&A,유가,1109,279
086390,유니테스트,코스닥,1392,148
005440,현대지에프홀딩스,유가,1086,128
012210,삼미금속,코스닥,2989,114
009070,케이씨티시,유가,1423,92
047770,코데즈컴바인,코스닥,1267,78
036810,에프에스티,코스닥,1430,63
