종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
006340,대원전선,유가,8323,8323
032820,우리기술,코스닥,14734,5620
489790,한화비전,유가,5315,5315
048410,현대바이오,코스닥,4562,4562
222080,씨아이에스,코스닥,4479,4479
042700,한미반도체,유가,14571,3456
024060,흥구석유,코스닥,9287,3429
066570,LG전자,유가,16832,2581
047040,대우건설,유가,3620,2184
008930,한미사이언스,유가,2095,2095
005440,현대지에프홀딩스,유가,1748,1748
187660,현대ADM,코스닥,3487,1609
001820,삼화콘덴서공업,유가,1398,1398
452260,한화갤러리아,유가,1690,1316
035810,이지홀딩스,코스닥,1250,1250
253590,네오셈,코스닥,2160,1110
388050,지투파워,코스닥,1068,1068
006910,보성파워텍,코스닥,5239,987
012510,더존비즈온,유가,3120,980
277810,레인보우로보틱스,코스닥,12162,966
067310,하나마이크론,코스닥,4428,896
241520,DSC인베스트먼트,코스닥,2832,893
417200,LS머트리얼즈,코스닥,1165,844
010170,대한광통신,코스닥,2688,818
352820,하이브,유가,4123,759
440110,파두,코스닥,7176,750
043260,성호전자,코스닥,1123,630
130660,한전산업,유가,4175,578
052690,한전기술,유가,3284,530
001510,SK증권,유가,5973,527
457550,우진엔텍,코스닥,1020,500
103590,일진전기,유가,1892,451
475150,SK이터닉스,유가,4321,432
004090,한국석유공업,유가,2022,384
009290,광동제약,유가,2347,369
010820,퍼스텍,유가,1651,347
047050,포스코인터내셔널,유가,1817,332
323410,카카오뱅크,유가,5538,307
004020,현대제철,유가,1422,299
028050,삼성E&A,유가,1109,288
397030,에이프릴바이오,코스닥,1145,246
003280,흥아해운,유가,1062,231
003160,디아이,유가,1014,180
046120,오르비텍,코스닥,1271,174
011700,한신기계공업,유가,1099,154
004560,현대비앤지스틸,유가,1374,139
000540,흥국화재,유가,1247,123
012210,삼미금속,코스닥,2989,102
047770,코데즈컴바인,코스닥,1267,62
