종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
042700,한미반도체,유가,21621,21621
038500,삼표시멘트,코스닥,11788,7773
322000,HD현대에너지솔루션,유가,5734,5734
004020,현대제철,유가,5558,5558
080220,제주반도체,코스닥,13286,5165
006800,미래에셋증권,유가,13798,4833
178320,서진시스템,코스닥,4167,4167
307950,현대오토에버,유가,6291,3929
009830,한화솔루션,유가,22295,3863
066570,LG전자,유가,16832,3782
006340,대원전선,유가,8357,3232
001510,SK증권,유가,7613,2793
489790,한화비전,유가,6021,2318
011930,신성이엔지,유가,2043,2043
032820,우리기술,코스닥,14734,2025
047040,대우건설,유가,7779,1764
222080,씨아이에스,코스닥,4501,1635
011210,현대위아,유가,1599,1599
027360,아주IB투자,코스닥,2653,1548
064400,LG씨엔에스,유가,8294,1459
052690,한전기술,유가,3284,1369
004560,현대비앤지스틸,유가,1374,1280
229000,젠큐릭스,코스닥,1048,1048
036540,SFA반도체,코스닥,4624,1014
242040,나무기술,코스닥,1204,922
047770,코데즈컴바인,코스닥,1267,891
440110,파두,코스닥,7176,786
046890,서울반도체,코스닥,1686,656
397030,에이프릴바이오,코스닥,1145,611
103590,일진전기,유가,2075,524
011500,한농화성,유가,1531,384
010060,OCI홀딩스,유가,1959,366
253590,네오셈,코스닥,2160,325
417200,LS머트리얼즈,코스닥,1421,304
043260,성호전자,코스닥,1123,268
001500,현대차증권,유가,1641,95
