종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
038500,삼표시멘트,코스닥,5486,3001
277810,레인보우로보틱스,코스닥,12162,2840
006220,제주은행,유가,2831,2831
006800,미래에셋증권,유가,8339,2545
474170,루미르,코스닥,2167,1826
000250,삼천당제약,코스닥,5888,1638
080220,제주반도체,코스닥,7382,1553
003310,대주산업,코스닥,1405,1405
232680,라온로보틱스,코스닥,1797,1135
004560,현대비앤지스틸,유가,1067,1067
353200,대덕전자,유가,3617,886
347700,스피어,코스닥,1702,825
060280,큐렉소,코스닥,1927,817
067310,하나마이크론,코스닥,4428,761
036930,주성엔지니어링,코스닥,1671,640
281740,레이크머티리얼즈,코스닥,2409,509
027360,아주IB투자,코스닥,2653,454
237690,에스티팜,코스닥,1882,387
274090,켄코아에어로스페이스,코스닥,2414,379
417200,LS머트리얼즈,코스닥,1165,374
211270,AP위성,코스닥,1425,365
383310,에코프로에이치엔,코스닥,1259,305
451760,컨텍,코스닥,1396,279
077360,덕산하이메탈,코스닥,1190,270
048410,현대바이오,코스닥,1247,264
060720,KH바텍,코스닥,1542,232
264850,이랜시스,코스닥,1037,186
059120,아진엑스텍,코스닥,1606,58
