종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
003280,흥아해운,유가,11443,7114
047040,대우건설,유가,18477,6314
001510,SK증권,유가,12045,4009
046120,오르비텍,코스닥,2544,2544
322000,HD현대에너지솔루션,유가,10563,2481
036930,주성엔지니어링,코스닥,4518,1906
375500,DL이앤씨,유가,2174,1765
214390,경보제약,유가,1307,1307
475580,에이럭스,코스닥,1180,1180
092220,KEC,유가,1175,1175
475150,SK이터닉스,유가,7856,1141
069540,빛과전자,코스닥,1090,572
010060,OCI홀딩스,유가,1054,425
044490,태웅,코스닥,2202,351
234340,헥토파이낸셜,코스닥,1696,313
082920,비츠로셀,코스닥,1461,311
356860,티엘비,코스닥,1122,263
002780,진흥기업,유가,1082,140
033160,엠케이전자,코스닥,1300,134
