종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
005380,현대자동차,유가,42988,24348
006800,미래에셋증권,유가,8339,8339
005490,POSCO홀딩스,유가,8586,5965
000250,삼천당제약,코스닥,5888,5888
000720,현대건설,유가,9206,5029
277810,레인보우로보틱스,코스닥,5786,3488
272210,한화시스템,유가,16563,2290
464080,에스오에스랩,코스닥,1890,1890
237690,에스티팜,코스닥,1882,1882
347700,스피어,코스닥,1711,1690
068270,셀트리온,유가,6967,1479
457190,이수스페셜티케미컬,유가,4999,1295
006910,보성파워텍,코스닥,4420,1214
298830,슈어소프트테크,코스닥,5135,958
281740,레이크머티리얼즈,코스닥,1363,955
215100,로보로보,코스닥,4219,935
047040,대우건설,유가,1582,921
052690,한전기술,유가,3397,642
060280,큐렉소,코스닥,1927,539
451760,컨텍,코스닥,1396,529
474170,루미르,코스닥,2167,477
099320,쎄트렉아이,코스닥,1113,440
211270,AP위성,코스닥,1425,276
036810,에프에스티,코스닥,1430,265
105840,우진,유가,1508,265
274090,켄코아에어로스페이스,코스닥,2653,207
059270,해성에어로보틱스,코스닥,2060,205
200710,에이디테크놀로지,코스닥,1604,194
399720,가온칩스,코스닥,1197,140
009520,포스코엠텍,코스닥,2137,139
