종목코드,종목명,거래대금(억),시장,현재가
005380,현대자동차,11545,KOSPI/KOSDAQ,411500
000720,현대건설,5768,KOSPI/KOSDAQ,94900
272210,한화시스템,4979,KOSPI/KOSDAQ,88200
056080,유진로봇,2741,KOSPI/KOSDAQ,20000
348340,뉴로메카,2124,KOSPI/KOSDAQ,54300
090710,휴림로봇,1624,KOSPI/KOSDAQ,9520
024060,흥구석유,1564,KOSPI/KOSDAQ,14430
462350,이노스페이스,1451,KOSPI/KOSDAQ,23250
307950,현대오토에버,1279,KOSPI/KOSDAQ,492500
098460,고영,1076,KOSPI/KOSDAQ,28100
317830,에스피시스템스,1019,KOSPI/KOSDAQ,14760
099320,쎄트렉아이,401,KOSPI/KOSDAQ,123700
464080,에스오에스랩,374,KOSPI/KOSDAQ,19150
003160,디아이,340,KOSPI/KOSDAQ,31300
001430,세아베스틸지주,284,KOSPI/KOSDAQ,67900
295310,에이치브이엠,279,KOSPI/KOSDAQ,79500
053700,삼보모터스,266,KOSPI/KOSDAQ,8090
101170,우림피티에스,257,KOSPI/KOSDAQ,20750
049630,재영솔루텍,252,KOSPI/KOSDAQ,4790
190510,나무가,165,KOSPI/KOSDAQ,26300
012860,모베이스전자,137,KOSPI/KOSDAQ,4370
003310,대주산업,53,KOSPI/KOSDAQ,3170
