종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
006400,삼성SDI,유가,22402,7133
067310,하나마이크론,코스닥,4428,4428
017670,SK텔레콤,유가,3943,3943
277810,레인보우로보틱스,코스닥,12162,3682
032820,우리기술,코스닥,6850,3471
000250,삼천당제약,코스닥,5888,2257
006800,미래에셋증권,유가,8339,2114
079370,제우스,코스닥,1963,1963
130660,한전산업,유가,1869,1869
457190,이수스페셜티케미컬,유가,4999,1366
068270,셀트리온,유가,6967,1339
010130,고려아연,유가,4849,1264
403870,HPSP,코스닥,5043,1180
098460,고영,코스닥,6548,1172
417010,나노팀,코스닥,1161,1161
006910,보성파워텍,코스닥,4420,1096
950160,코오롱티슈진,코스닥,1242,1044
036930,주성엔지니어링,코스닥,1671,1000
080220,제주반도체,코스닥,5892,926
105840,우진,유가,1508,921
281740,레이크머티리얼즈,코스닥,2409,848
454910,두산로보틱스,유가,6104,704
347700,스피어,코스닥,1711,611
466100,클로봇,코스닥,4697,598
101490,에스앤에스텍,코스닥,1302,576
237690,에스티팜,코스닥,1882,565
464080,에스오에스랩,코스닥,1900,497
457550,우진엔텍,코스닥,1584,378
003160,디아이,유가,1186,346
060280,큐렉소,코스닥,1927,322
399720,가온칩스,코스닥,1197,308
036540,SFA반도체,코스닥,1130,300
003310,대주산업,코스닥,1078,294
274090,켄코아에어로스페이스,코스닥,2277,290
099320,쎄트렉아이,코스닥,1113,280
211270,AP위성,코스닥,1425,238
451760,컨텍,코스닥,1396,232
036810,에프에스티,코스닥,1430,196
264850,이랜시스,코스닥,1037,181
011500,한농화성,유가,1173,169
009520,포스코엠텍,코스닥,2137,137
059270,해성에어로보틱스,코스닥,2060,129
059120,아진엑스텍,코스닥,1606,95
