종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
042700,한미반도체,유가,16536,16536
080220,제주반도체,코스닥,13188,13188
047040,대우건설,유가,7745,7745
001510,SK증권,유가,7586,7586
066570,LG전자,유가,16832,6701
489790,한화비전,유가,6021,6021
036540,SFA반도체,코스닥,4553,4553
006800,미래에셋증권,유가,13798,3867
034220,LG디스플레이,유가,2982,2589
032820,우리기술,코스닥,14734,1916
307950,현대오토에버,유가,6291,1806
046890,서울반도체,코스닥,1686,1686
067310,하나마이크론,코스닥,4428,1538
006340,대원전선,유가,8357,1142
253590,네오셈,코스닥,2160,1135
036930,주성엔지니어링,코스닥,1557,1130
103590,일진전기,유가,2075,1118
229000,젠큐릭스,코스닥,1016,1016
242040,나무기술,코스닥,1204,949
017670,SK텔레콤,유가,4121,822
012510,더존비즈온,유가,3120,816
052690,한전기술,유가,3284,590
001500,현대차증권,유가,1641,585
004020,현대제철,유가,1422,522
417200,LS머트리얼즈,코스닥,1421,520
440110,파두,코스닥,7176,497
043260,성호전자,코스닥,1123,494
047050,포스코인터내셔널,유가,1817,472
241520,DSC인베스트먼트,코스닥,2832,447
330350,위더스제약,코스닥,1788,378
039860,나노엔텍,코스닥,1711,304
011500,한농화성,유가,1531,304
003160,디아이,유가,1014,218
397030,에이프릴바이오,코스닥,1145,216
001820,삼화콘덴서공업,유가,1398,195
033100,제룡전기,코스닥,2252,166
020150,롯데에너지머티리얼즈,유가,1043,161
035810,이지홀딩스,코스닥,1256,127
