종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
024060,흥구석유,코스닥,9212,9212
032820,우리기술,코스닥,14734,7700
066570,LG전자,유가,16832,7319
088350,한화생명,유가,6577,6577
006800,미래에셋증권,유가,13798,3836
187660,현대ADM,코스닥,3485,3485
006910,보성파워텍,코스닥,5239,3196
010170,대한광통신,코스닥,2687,2678
009290,광동제약,유가,2337,2337
241520,DSC인베스트먼트,코스닥,2832,2289
048410,현대바이오,코스닥,2170,2170
042700,한미반도체,유가,14571,1917
004090,한국석유공업,유가,2022,1912
103590,일진전기,유가,1892,1892
010820,퍼스텍,유가,1647,1647
001450,현대해상,유가,1451,1451
003530,한화투자증권,유가,5493,1343
000370,한화손해보험,유가,2050,1250
000540,흥국화재,유가,1242,1242
000400,롯데손해보험,유가,1211,1211
000250,삼천당제약,코스닥,5888,1086
001820,삼화콘덴서공업,유가,1075,1075
130660,한전산업,유가,4175,1046
457550,우진엔텍,코스닥,1004,1004
352820,하이브,유가,4123,1000
043260,성호전자,코스닥,1123,994
277810,레인보우로보틱스,코스닥,12162,829
006220,제주은행,유가,2831,826
003280,흥아해운,유가,1062,775
052690,한전기술,유가,3284,736
036930,주성엔지니어링,코스닥,1557,691
347700,스피어,코스닥,2789,678
004560,현대비앤지스틸,유가,1374,624
004020,현대제철,유가,1422,550
001510,SK증권,유가,5973,532
047050,포스코인터내셔널,유가,1817,513
377300,카카오페이,유가,8493,495
475150,SK이터닉스,유가,4321,454
397030,에이프릴바이오,코스닥,1145,444
077360,덕산하이메탈,코스닥,1691,443
417200,LS머트리얼즈,코스닥,1165,437
105840,우진,유가,1608,414
323410,카카오뱅크,유가,5538,406
060250,NHN KCP,코스닥,3447,393
452260,한화갤러리아,유가,1690,377
028050,삼성E&A,유가,1109,333
001200,유진증권,유가,1457,304
001500,현대차증권,유가,1641,283
046120,오르비텍,코스닥,1271,280
237690,에스티팜,코스닥,1882,277
094820,일진파워,코스닥,1054,207
012210,삼미금속,코스닥,2989,200
005440,현대지에프홀딩스,유가,1086,195
011700,한신기계공업,유가,1099,179
009070,케이씨티시,유가,1423,123
038460,바이오스마트,코스닥,1874,65
