종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
050890,쏠리드,코스닥,8201,8201
010170,대한광통신,코스닥,7764,3766
027360,아주IB투자,코스닥,3487,3487
375500,DL이앤씨,유가,3112,3112
489790,한화비전,유가,6021,2968
003280,흥아해운,유가,11443,2717
100790,미래에셋벤처투자,코스닥,2274,2274
368770,파이버프로,코스닥,2587,2226
475150,SK이터닉스,유가,7856,1917
003000,부광약품,유가,1785,1785
178320,서진시스템,코스닥,4189,1764
036930,주성엔지니어링,코스닥,4981,1372
069540,빛과전자,코스닥,2650,1292
218410,RFHIC,코스닥,2564,1214
138080,오이솔루션,코스닥,1554,1210
007810,코리아써키트,유가,1197,1197
214390,경보제약,유가,1324,1159
082920,비츠로셀,코스닥,1461,1097
017900,광전자,유가,1076,1076
295310,에이치브이엠,코스닥,1549,837
115440,우리넷,코스닥,1025,574
356860,티엘비,코스닥,1122,407
474610,RF시스템즈,코스닥,1510,394
092220,KEC,유가,1182,341
476060,온코닉테라퓨틱스,코스닥,2408,187
