종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
009830,한화솔루션,유가,22295,6272
056080,유진로봇,코스닥,4459,3803
047040,대우건설,유가,3620,3620
006800,미래에셋증권,유가,9515,2536
080220,제주반도체,코스닥,7382,2508
139480,이마트,유가,2027,2027
267270,HD건설기계,유가,3318,1316
241520,DSC인베스트먼트,코스닥,1059,1059
000390,삼화페인트공업,유가,1050,1050
048410,현대바이오,코스닥,1247,955
352820,하이브,유가,4123,944
417200,LS머트리얼즈,코스닥,1165,899
225190,LK삼양,코스닥,1911,863
090430,아모레퍼시픽,유가,4029,856
024060,흥구석유,코스닥,1782,828
234340,헥토파이낸셜,코스닥,2507,713
032820,우리기술,코스닥,6850,649
011930,신성이엔지,유가,1450,562
222080,씨아이에스,코스닥,1408,534
417010,나노팀,코스닥,1455,429
187660,현대ADM,코스닥,1182,399
003160,디아이,유가,1014,349
028050,삼성E&A,유가,1109,322
474170,루미르,코스닥,1831,321
010060,OCI홀딩스,유가,1959,314
001510,SK증권,유가,2707,259
006910,보성파워텍,코스닥,4420,242
451760,컨텍,코스닥,1396,216
009070,케이씨티시,유가,1423,210
130660,한전산업,유가,2619,191
027360,아주IB투자,코스닥,2653,180
060720,KH바텍,코스닥,1542,116
