종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
012450,한화에어로스페이스,유가,18550,8091
272210,한화시스템,유가,15765,7959
032820,우리기술,코스닥,14734,7394
079550,LIG넥스원,유가,15391,7037
042700,한미반도체,유가,21680,4636
089030,테크윙,코스닥,9422,3718
322000,HD현대에너지솔루션,유가,5805,3489
117580,대성에너지,유가,2938,2938
005860,한일사료,코스닥,2327,1828
053050,지에스이,코스닥,1626,1626
000440,중앙에너비스,코스닥,1283,1275
440110,파두,코스닥,7176,1266
025860,남해화학,유가,1161,1161
024740,한일단조,코스닥,1032,1032
010820,퍼스텍,유가,3203,900
222080,씨아이에스,코스닥,4501,871
347700,스피어,코스닥,2789,806
178320,서진시스템,코스닥,4189,792
489790,한화비전,유가,6021,656
234340,헥토파이낸셜,코스닥,2389,573
012510,더존비즈온,유가,3120,362
