종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
038500,삼표시멘트,코스닥,11385,11385
322000,HD현대에너지솔루션,유가,10489,10489
010170,대한광통신,코스닥,7738,7738
032820,우리기술,코스닥,16545,6126
475150,SK이터닉스,유가,4424,4424
012450,한화에어로스페이스,유가,18550,3834
009830,한화솔루션,유가,17156,3341
006800,미래에셋증권,유가,13798,2883
047040,대우건설,유가,7779,2485
000720,현대건설,유가,15908,2320
046120,오르비텍,코스닥,1861,1861
380540,옵티코어,코스닥,1728,1728
000440,중앙에너비스,코스닥,1529,1529
218410,RFHIC,코스닥,2564,1248
138080,오이솔루션,코스닥,1554,1064
010060,OCI홀딩스,유가,1054,1054
025860,남해화학,유가,1180,963
347700,스피어,코스닥,2789,587
234340,헥토파이낸셜,코스닥,2389,478
011930,신성이엔지,유가,2065,465
402490,그린리소스,코스닥,1318,151
012510,더존비즈온,유가,3120,146
047770,코데즈컴바인,코스닥,1267,126
