종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
006400,삼성SDI,유가,22402,8212
277810,레인보우로보틱스,코스닥,12162,5513
080220,제주반도체,코스닥,5892,4673
005490,POSCO홀딩스,유가,8586,4481
403870,HPSP,코스닥,5043,3366
068270,셀트리온,유가,6967,2833
010170,대한광통신,코스닥,2668,2668
000250,삼천당제약,코스닥,5888,2506
098460,고영,코스닥,6548,2503
377300,카카오페이,유가,8493,2313
067310,하나마이크론,코스닥,4428,2160
038500,삼표시멘트,코스닥,2108,2108
253590,네오셈,코스닥,1936,1936
032820,우리기술,코스닥,6850,1841
006800,미래에셋증권,유가,8339,1594
017670,SK텔레콤,유가,4121,1490
466100,클로봇,코스닥,4697,1323
048410,현대바이오,코스닥,1247,1247
353200,대덕전자,유가,1515,1187
454910,두산로보틱스,유가,6104,1062
101490,에스앤에스텍,코스닥,1302,1048
010130,고려아연,유가,4849,970
950160,코오롱티슈진,코스닥,1242,874
232680,라온로보틱스,코스닥,1291,858
457190,이수스페셜티케미컬,유가,4999,848
009520,포스코엠텍,코스닥,2137,765
056080,유진로봇,코스닥,4459,679
028050,삼성E&A,유가,1109,670
036810,에프에스티,코스닥,1430,656
036930,주성엔지니어링,코스닥,1671,651
347700,스피어,코스닥,1711,586
437730,삼현,코스닥,1622,569
047040,대우건설,유가,1582,564
079370,제우스,코스닥,1963,563
237690,에스티팜,코스닥,1882,557
059120,아진엑스텍,코스닥,1606,537
036540,SFA반도체,코스닥,1130,529
281740,레이크머티리얼즈,코스닥,2409,527
464080,에스오에스랩,코스닥,1900,382
274090,켄코아에어로스페이스,코스닥,2277,375
032940,원익,코스닥,2331,373
099320,쎄트렉아이,코스닥,1113,358
003160,디아이,유가,1186,318
060280,큐렉소,코스닥,1927,309
399720,가온칩스,코스닥,1197,284
130660,한전산업,유가,1869,236
105840,우진,유가,1508,209
451760,컨텍,코스닥,1396,207
011500,한농화성,유가,1173,177
417010,나노팀,코스닥,1167,154
211270,AP위성,코스닥,1425,148
457550,우진엔텍,코스닥,1584,108
