종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
100790,미래에셋벤처투자,코스닥,6507,6507
027360,아주IB투자,코스닥,6136,6136
100090,SK오션플랜트,유가,4228,4228
115440,우리넷,코스닥,2082,2082
010170,대한광통신,코스닥,7764,1612
050890,쏠리드,코스닥,8252,1609
003000,부광약품,유가,1786,1470
375500,DL이앤씨,유가,3112,1046
017900,광전자,유가,1076,986
047050,포스코인터내셔널,유가,4181,824
069540,빛과전자,코스닥,2650,679
007810,코리아써키트,유가,1197,662
295310,에이치브이엠,코스닥,1549,593
082920,비츠로셀,코스닥,1461,474
138080,오이솔루션,코스닥,1554,455
368770,파이버프로,코스닥,2587,395
092220,KEC,유가,1182,353
474610,RF시스템즈,코스닥,1510,135
412350,레이저쎌,코스닥,1426,98
214390,경보제약,유가,1324,53
