종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,16668,12471
001510,SK증권,유가,7902,7902
475150,SK이터닉스,유가,7856,7856
403870,HPSP,코스닥,6086,4102
322000,HD현대에너지솔루션,유가,10563,3316
011930,신성이엔지,유가,5093,3118
050890,쏠리드,코스닥,4878,2045
010170,대한광통신,코스닥,7764,1815
000720,현대건설,유가,15908,1786
417200,LS머트리얼즈,코스닥,8777,1664
046120,오르비텍,코스닥,1861,1553
489790,한화비전,유가,6021,1488
033160,엠케이전자,코스닥,1291,1291
112610,씨에스윈드,유가,1259,1259
006340,대원전선,유가,8357,1132
356860,티엘비,코스닥,1122,1122
214390,경보제약,유가,1022,1022
082920,비츠로셀,코스닥,1461,704
027360,아주IB투자,코스닥,3469,574
010060,OCI홀딩스,유가,1054,508
035510,신세계I&C,유가,2847,328
242040,나무기술,코스닥,1696,319
003280,흥아해운,유가,11443,319
402490,그린리소스,코스닥,1318,283
001820,삼화콘덴서공업,유가,1398,249
044490,태웅,코스닥,1819,233
412350,레이저쎌,코스닥,1426,157
