종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,16611,16611
403870,HPSP,코스닥,6024,6024
011930,신성이엔지,유가,5072,5072
006340,대원전선,유가,8357,3056
035510,신세계I&C,유가,2830,2830
001510,SK증권,유가,7613,2626
000720,현대건설,유가,15908,2509
006800,미래에셋증권,유가,13798,2236
322000,HD현대에너지솔루션,유가,10563,2149
006910,보성파워텍,코스닥,5005,1869
082920,비츠로셀,코스닥,1461,1461
412350,레이저쎌,코스닥,1414,1414
489790,한화비전,유가,6021,1200
475150,SK이터닉스,유가,4543,1167
417200,LS머트리얼즈,코스닥,8777,1101
001820,삼화콘덴서공업,유가,1398,1012
010060,OCI홀딩스,유가,1054,953
263750,펄어비스,코스닥,1335,902
402490,그린리소스,코스닥,1318,798
048410,현대바이오,코스닥,4581,783
027360,아주IB투자,코스닥,3469,620
242040,나무기술,코스닥,1696,596
046120,오르비텍,코스닥,1861,580
041910,폴라리스AI파마,코스닥,2306,386
253590,네오셈,코스닥,1813,369
050890,쏠리드,코스닥,4878,344
357880,SKAI,코스닥,1808,298
307750,국전약품,코스닥,1813,278
105840,우진,유가,1608,267
474610,RF시스템즈,코스닥,1510,167
388050,지투파워,코스닥,1072,120
082640,동양생명,유가,1127,61
