종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
009830,한화솔루션,유가,22295,10771
018880,한온시스템,유가,8523,8523
006800,미래에셋증권,유가,13798,6861
003530,한화투자증권,유가,5487,5487
006400,삼성SDI,유가,22402,4421
187660,현대ADM,코스닥,3137,2858
066570,LG전자,유가,16832,2320
000250,삼천당제약,코스닥,5888,2259
241520,DSC인베스트먼트,코스닥,2832,2074
277810,레인보우로보틱스,코스닥,12162,1990
032820,우리기술,코스닥,14734,1971
017670,SK텔레콤,유가,4121,1918
006910,보성파워텍,코스닥,5239,1859
080220,제주반도체,코스닥,7382,1856
047040,대우건설,유가,3620,1702
001500,현대차증권,유가,1641,1641
130660,한전산업,유가,4175,1594
322000,HD현대에너지솔루션,유가,4494,1580
036930,주성엔지니어링,코스닥,1552,1552
001200,유진증권,유가,1438,1438
001440,대한전선,유가,4807,1358
352820,하이브,유가,4123,1324
221800,유투바이오,코스닥,1405,1314
048410,현대바이오,코스닥,1255,1255
047770,코데즈컴바인,코스닥,1267,1076
094820,일진파워,코스닥,2150,1049
347700,스피어,코스닥,2789,1032
475150,SK이터닉스,유가,4321,1007
452260,한화갤러리아,유가,1524,1005
088350,한화생명,유가,1969,978
001510,SK증권,유가,3630,901
067310,하나마이크론,코스닥,4428,869
222080,씨아이에스,코스닥,1408,800
267270,HD건설기계,유가,3318,719
024060,흥구석유,코스닥,1782,687
440110,파두,코스닥,7176,622
397030,에이프릴바이오,코스닥,1145,511
052690,한전기술,유가,3284,507
086390,유니테스트,코스닥,1392,493
010060,OCI홀딩스,유가,1959,487
004310,현대약품,유가,2821,468
047050,포스코인터내셔널,유가,1817,459
003720,삼영,유가,2760,443
323410,카카오뱅크,유가,5538,443
417200,LS머트리얼즈,코스닥,1165,337
383310,에코프로에이치엔,코스닥,1259,326
028050,삼성E&A,유가,1109,323
046120,오르비텍,코스닥,1271,301
237690,에스티팜,코스닥,1882,299
027360,아주IB투자,코스닥,2653,292
077360,덕산하이메탈,코스닥,1691,268
003620,KG모빌리티,유가,1594,260
457550,우진엔텍,코스닥,1584,215
005440,현대지에프홀딩스,유가,1086,215
011700,한신기계공업,유가,1723,168
060720,KH바텍,코스닥,1542,116
036810,에프에스티,코스닥,1430,85
004560,현대비앤지스틸,유가,1374,60
