종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
032820,우리기술,코스닥,14677,14677
042700,한미반도체,유가,14571,12131
066570,LG전자,유가,16832,6216
009830,한화솔루션,유가,22295,3283
187660,현대ADM,코스닥,3135,3135
006800,미래에셋증권,유가,9515,2900
047040,대우건설,유가,3620,2488
006400,삼성SDI,유가,22402,2463
001440,대한전선,유가,4807,2240
006910,보성파워텍,코스닥,5239,2003
047050,포스코인터내셔널,유가,1817,1817
267270,HD건설기계,유가,3318,1784
018880,한온시스템,유가,5711,1730
088350,한화생명,유가,1680,1680
139480,이마트,유가,2916,1593
352820,하이브,유가,4123,1253
241520,DSC인베스트먼트,코스닥,2832,1207
397030,에이프릴바이오,코스닥,1145,1145
008830,대동기어,코스닥,4105,1139
017670,SK텔레콤,유가,4121,1112
056080,유진로봇,코스닥,4459,1087
005440,현대지에프홀딩스,유가,1086,1086
048410,현대바이오,코스닥,1247,966
000250,삼천당제약,코스닥,5888,962
130660,한전산업,유가,2619,884
323410,카카오뱅크,유가,5538,739
004560,현대비앤지스틸,유가,1374,701
090430,아모레퍼시픽,유가,4029,629
052690,한전기술,유가,3397,617
004310,현대약품,유가,3504,401
010060,OCI홀딩스,유가,1959,386
028050,삼성E&A,유가,1109,378
003530,한화투자증권,유가,1355,293
417200,LS머트리얼즈,코스닥,1165,275
451760,컨텍,코스닥,1396,241
452260,한화갤러리아,유가,3640,225
094820,일진파워,코스닥,2150,159
077360,덕산하이메탈,코스닥,1691,149
006220,제주은행,유가,2831,134
011700,한신기계공업,유가,1723,108
036810,에프에스티,코스닥,1430,107
011930,신성이엔지,유가,1450,102
457550,우진엔텍,코스닥,1584,69
