종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
003280,흥아해운,유가,11369,11369
322000,HD현대에너지솔루션,유가,10563,5602
032820,우리기술,코스닥,16545,5139
417200,LS머트리얼즈,코스닥,8777,4220
027360,아주IB투자,코스닥,3456,3456
006910,보성파워텍,코스닥,5005,3060
011930,신성이엔지,유가,3043,3043
178320,서진시스템,코스닥,4189,2262
475150,SK이터닉스,유가,4543,2104
307750,국전약품,코스닥,1803,1803
242040,나무기술,코스닥,1691,1691
000720,현대건설,유가,15908,1153
041910,폴라리스AI파마,코스닥,2306,1037
321370,센서뷰,코스닥,2109,681
000440,중앙에너비스,코스닥,1547,641
357880,SKAI,코스닥,1808,587
046120,오르비텍,코스닥,1861,578
008350,남선알미늄,유가,2423,505
402490,그린리소스,코스닥,1318,422
010060,OCI홀딩스,유가,1054,334
005860,한일사료,코스닥,2327,326
452280,한선엔지니어링,코스닥,1786,283
050890,쏠리드,코스닥,4878,273
474610,RF시스템즈,코스닥,1510,199
388050,지투파워,코스닥,1072,127
