종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
010170,대한광통신,코스닥,10769,9655
475150,SK이터닉스,유가,7856,7747
011930,신성이엔지,유가,6636,6636
322000,HD현대에너지솔루션,유가,10563,6374
003280,흥아해운,유가,13810,5073
050890,쏠리드,코스닥,8252,3482
028050,삼성E&A,유가,3159,3159
100090,SK오션플랜트,유가,4228,3040
375500,DL이앤씨,유가,3112,2222
047050,포스코인터내셔널,유가,4181,1536
017900,광전자,유가,1156,1156
010060,OCI홀딩스,유가,1146,1146
033790,피노,코스닥,1700,1134
008350,남선알미늄,유가,3211,915
138080,오이솔루션,코스닥,1554,799
069540,빛과전자,코스닥,2650,776
044490,태웅,코스닥,2202,534
388050,지투파워,코스닥,1216,534
368770,파이버프로,코스닥,2587,477
425040,티이엠씨,코스닥,2535,473
474610,RF시스템즈,코스닥,1510,433
082920,비츠로셀,코스닥,1461,396
412350,레이저쎌,코스닥,1426,372
006110,삼아알미늄,유가,1531,328
282720,금양그린파워,코스닥,1568,302
475580,에이럭스,코스닥,1185,141
003000,부광약품,유가,1786,137
001820,삼화콘덴서공업,유가,1012,129
033160,엠케이전자,코스닥,1300,106
