종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
047040,대우건설,유가,18477,5234
037030,파워넷,코스닥,2916,2916
425040,티이엠씨,코스닥,2337,2337
475150,SK이터닉스,유가,7856,2305
161000,애경케미칼,유가,1847,1847
100790,미래에셋벤처투자,코스닥,7519,1725
289080,SV인베스트먼트,코스닥,1437,1437
452300,캡스톤파트너스,코스닥,1357,1357
053690,한미글로벌,유가,1172,1172
375500,DL이앤씨,유가,3112,1092
027360,아주IB투자,코스닥,6158,1076
092220,KEC,유가,1182,815
950160,코오롱티슈진,코스닥,3285,800
082920,비츠로셀,코스닥,1461,671
069540,빛과전자,코스닥,2650,615
100090,SK오션플랜트,유가,4228,488
402490,그린리소스,코스닥,1318,446
475580,에이럭스,코스닥,1185,374
003000,부광약품,유가,1786,246
474610,RF시스템즈,코스닥,1510,80
412350,레이저쎌,코스닥,1426,56
